ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1445980000013,15 Romolo ,4.0,(415) 398-1359,894,"15 Romolo Pl, San Francisco, CA 94133"
1445980004538,Shanghai Asian Manor ,4.0,(212) 766-6311,678,"21 Mott St, New York, NY 10013"
1445980001422,Delicious Dim Sum ,4.0,(415) 781-0721,561,"752 Jackson St, San Francisco, CA 94133"
1445980002119,Han Bat Sul Lung Tang ,4.5,(213) 383-9499,1104,"4163 W 5th St, Los Angeles, CA 90020"
1445980002555,Jun Won Restaurant ,4.5,(213) 383-8855,187,"3100 W 8th St, Los Angeles, CA 90005"
1445980003222,Men Oh Tokushima Ramen ,4.0,(213) 687-8485,682,"456 E 2nd St, Los Angeles, CA 90012"
1445980004680,Spear Steak & Seafood House ,4.0,(213) 688-3000,306,"800 W 6th St, Los Angeles, CA 90017"
1445980005825,Yang Ban Sul Lung Tang Restaurant ,4.5,(213) 489-4640,94,"716 E 9th Pl, Los Angeles, CA 90021"
1445980000251,AOC ,4.0,(310) 859-9859,1592,"8700 W 3rd St, Los Angeles, CA 90048"
1445980000424,BAR Ama ,4.0,(213) 687-8002,663,"118 W 4th St, Los Angeles, CA 90013"
1445980000095,Acquerello ,4.5,(415) 567-5432,797,"1722 Sacramento St, San Francisco, CA 94109"
1445980000120,AJ Bombers ,3.5,(608) 305-4474,79,"201 W Gorham St, Madison, WI 53703"
1445980003914,Pica Pica Arepa Kitchen ,4.0,(415) 400-5453,909,"401 Valencia St, San Francisco, CA 94103"
1445980000138,Alcove Caf̩ & Bakery ,4.0,(323) 644-0100,3111,"1929 Hillhurst Ave, Los Angeles, CA 90027"
1445980005626,Via Lima ,4.0,(773) 348-4900,39,"4024 N Lincoln Ave, Chicago, IL 60618"
1445980003827,Pasta Moto ,3.5,(415) 546-6686,176,"845 Market St, San Francisco, CA 94103"
1445980000220,Anella ,4.0,(718) 389-8100,267,"222 Franklin St, Brooklyn, NY 11222"
1445980002250,Hong Kong Lounge ,3.5,(415) 668-8836,1215,"5322 Geary Blvd, San Francisco, CA 94121"
1445980002251,Hong Kong Lounge II ,3.5,(415) 668-8802,514,"3300 Geary Blvd, San Francisco, CA 94118"
1445980001474,Dok Dok Chicken ,4.0,(213) 351-9963,49,"401 S Vermont Ave, Los Angeles, CA 90020"
1445980001686,Fahlstrom�۪s Fresh Fish Market ,4.0,(773) 281-6000,154,"1258 W Belmont Ave, Chicago, IL 60657"
1445980001039,Chang Jiang ,2.0,(608) 278-1818,2,"646 S Gammon Rd, Madison, WI 53719"
1445980000295,Aroma Restaurant ,4.5,(323) 644-2833,239,"2903 W Sunset Blvd, Los Angeles, CA 90026"
1445980000320,Asiento ,4.0,(415) 829-3375,258,"2730 21st St, San Francisco, CA 94110"
1445980002246,Hong Kong Buffet ,,(608) 240-0762,0,"2817 E Washington Ave, Madison, WI 53704"
1445980005844,Yum Yum Bangkok ,3.5,(212) 262-7244,450,"650 9th Ave, New York, NY 10036"
1445980000355,Avec ,4.5,(312) 377-2002,1485,"615 W Randolph St, Chicago, IL 60661"
1445980000381,Babes Grill & Bar ,3.5,(608) 274-7300,54,"5614 Schroeder Rd, Madison, WI 53711"
1445980000975,Carol O.'s review of Old Bus Taver,4.5,(415) 843-1938,41,"3193 Mission St, San Francisco, CA 94110"
1445980005125,The Crafty Fox Ale House ,4.5,(415) 416-6602,35,"1700 Mission St, San Francisco, CA 94103"
1445980004408,Sali C.'s review of Lao Laan,4.0,(608) 280-0104,212,"1146 Williamson St, Madison, WI 53703"
1445980005669,Wah Kee Wonton Noodle ,4.0,(608) 255-5580,105,"600 Williamson St, Madison, WI 53703"
1445980003931,Ping Pong ,3.5,(773) 281-7575,481,"3322 N Broadway St, Chicago, IL 60657"
1445980000444,Bari ,4.5,(312) 666-0730,591,"1120 W Grand Ave, Chicago, IL 60642"
1445980002483,Jeta Skin Care and Laser Center ,2.0,(312) 226-1851,34,"1851 W Grand Ave, Chicago, IL 60622"
1445980001913,Gather ,4.5,(773) 506-9300,341,"4539 N Lincoln Ave, Chicago, IL 60625"
1445980003816,Park�۪s BBQ ,4.0,(213) 380-1717,1104,"955 S Vermont Ave, Los Angeles, CA 90006"
1445980000654,Blue Fin ,3.5,(212) 918-1400,661,"1567 Broadway, New York, NY 10036"
1445980002265,Hot Soup Cart ,4.5,1445980000000,2,"51st St & Broadway, New York, NY 10019"
1445980003519,New Wong Rest ,4.0,(646) 878-9474,16,"103 E Broadway, New York, NY 10002"
1445980005463,Toys R Us ,3.5,(646) 366-8800,390,"1514 Broadway, New York, NY 10036"
1445980005060,The Bad Apple ,4.0,(773) 360-8406,1073,"4300 N Lincoln Ave, Chicago, IL 60618"
1445980000642,Blowin�۪ Smoke BBQ ,4.0,(608) 215-0069,31,"1336 Montondon Ave, Waunakee, WI 53597"
1445980000643,Blowin�۪ Smoke BBQ ,3.5,(608) 215-0069,30,"1336 Montondon Ave, Waunakee, WI 53597"
1445980000160,All About the Bread ,4.0,(323) 930-8989,633,"7111 Melrose Ave, Los Angeles, CA 90046"
1445980004400,Sake Lounge ,3.5,(608) 467-7770,2,"406 W Gilman St, Madison, WI 53703"
1445980000674,Bocadillos ,4.0,(415) 982-2622,956,"710 Montgomery St, San Francisco, CA 94111"
1445980001322,Crossroads Trading Co. ,3.5,(773) 227-5300,108,"1519 N Milwaukee Ave, Chicago, IL 60622"
1445980004317,Rosalie L.'s review of Uncharted Book,4.0,1445980000000,37,"2630 N Milwaukee Ave, Chicago, IL 60647"
1445980000689,Bonfyre American Grille ,3.5,(608) 273-3973,146,"2601 W Beltline Hwy, Madison, WI 53713"
1445980004057,Pot Pan ,3.5,(773) 862-6990,325,"1362 N Milwaukee Ave, Chicago, IL 60642"
1445980005090,The Brass Ring ,3.5,(608) 256-9359,39,"701 E Washington Ave, Madison, WI 53703"
1445980001990,Good Food ,5.0,(608) 217-5227,39,"33 E Main St, Madison, WI 53703"
1445980000789,Buck & Honey�۪s ,4.0,(608) 837-3131,83,"804 Liberty Blvd, Sun Prairie, WI 53590"
1445980002252,Hong Kong Station ,3.5,(608) 661-8288,27,"1441 Regent St, Madison, WI 53711"
1445980000820,Burma Love ,4.0,(415) 861-2100,254,"211 Valencia St, San Francisco, CA 94103"
1445980002821,Lao Laan,4.0,(608) 280-0104,211,"1146 Williamson St, Madison, WI 53703"
1445980000906,Cafe Tallulah ,3.5,(212) 209-1055,176,"240 Columbus Ave, New York, NY 10023"
1445980002819,Lao Laan,3.5,(608) 819-0140,68,"2098 Atwood Ave, Madison, WI 53704"
1445980000958,Capriotti�۪s Sandwich Shop ,3.5,(608) 255-2227,11,"902 Regent St, Madison, WI 53715"
1445980001668,Etcetera Etcetera ,4.0,(212) 399-4141,276,"352 W 44th St, New York, NY 10036"
1445980000130,Alan Koa Salon & Spa ,3.5,(608) 284-1956,29,"202 State St, Madison, WI 53703"
1445980000671,Blum�۪s Trophies LLC ,,(608) 256-8296,0,"130 State St, Madison, WI 53703"
1445980000950,Capital Tap Haus ,3.0,(608) 310-1010,81,"107 State St, Madison, WI 53703"
1445980000986,Casa de Lara ,3.5,(608) 251-7200,36,"341 State St, Madison, WI 53703"
1445980002592,Karen & Co ,3.5,(608) 258-5500,3,"309 State St, Madison, WI 53703"
1445980003058,Mad City Frites ,4.0,(608) 204-6150,39,"320 State St, Madison, WI 53703"
1445980003957,Pizza Di Roma ,3.5,(608) 268-0900,62,"313 State St, Madison, WI 53703"
1445980003966,Pizza Hut ,,(662) 782-8378,0,"662 State St, Madison, WI 53703"
1445980005510,Tutto Pasta State Street ,3.0,(608) 960-9980,99,"305 State St, Madison, WI 53703"
1445980000987,Casa Del Sol ,3.5,(608) 663-8818,59,"3040 Cahill Main, Fitchburg, WI 53711"
1445980000994,Casellula ,4.0,(212) 247-8137,689,"401 W 52nd St, New York, NY 10019"
1445980004637,Son of a Gun ,4.0,(323) 782-9033,1209,"8370 W 3rd St, Los Angeles, CA 90048"
