index,id,title,category,brand,modelno,price,source,entity_id
7,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,0,1
13,18357,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b computer accessories,,innovera,,78.0,1,1
8,1850,innovera 7653 compatible ink 8000 page-yield red 7653,printers,innovera,,54.1,0,2
25,17488,new-7653 compatible ink 8000 page-yield red case pack 1 - 513443 computer accessories 97.3,,innovera,,,1,2
9,1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black printers innovera,,,m4640,24.99,0,3
29,811,new-m4640 compatible remanufactured high-yield ink case pack 1 - 513508,computer accessories,innovera,,43.99,1,3
2972,16916,innovera m4640 - m4640 compatible remanufactured high-yield ink 484 page-yield black,hard drive bags,innovera,,,1,3
16,925,oki 43502001 type 9 black toner cartridge oki 4.3502001 e7 98.0,printers,,,,0,4
38,21757,oki 43502001 type 9 black toner cartridge,printer ink toner,oki data,43502001,68.11,1,4
17,1030,canon x25 toner cartridge 8489a001aa 79.53,printers,canon,8489a001aa,,0,5
42,10555,canon imageclass x25 black toner cartridge laser printer toner 8489a001,,canon,,71.98,1,5
55,155,sumdex slr camera sling pack 39.99,mp3 accessories,sumdex,144952,,0,6
127,3446,slr camera sling pack sumdex poc-484bk,cases bags,,,44.59,1,6
56,261,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer xerox 108r00645,printers,,,244.84,0,7
128,5192,xerox printers imaging unit phaser 6300 6350 108 r00645 108r00645,printer ink toner,xerox,,253.79,1,7
59,1932,hp 56 black inkjet cartridge c6656an printers hp,,,c6656an,23.97,0,8
139,9095,genuine hp 56 c6656an black inkjet print cartridge inkjet printer ink c6656an,,hp,,24.19,1,8
3572,9016,hp 56 black ink cartridge in retail packaging c6656an 140 hewc6656an 21.5,printer ink toner,hp,,,1,8
70,376,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s,,,,89.0,0,9
153,9389,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3s,external hard drives,toshiba,,80.23,1,9
95,979,simplism protector film for ipad mp3 accessories trpfsipadagen 23.41,,simplism,,,0,10
209,9553,simplism protector film for ipad anti-glare laptop netbook computer accessories simplism tr-pfsipad-ag/en 11.47,,,,,1,10
94,1246,i-tec ipad anti-glare screen protector mp3 accessories,,i-tec electronics,t6020,17.88,0,11
223,17191,i-tec t6020 ipad r anti-glare screen protector,printers,i-tec,,,1,11
2878,21594,i-tec electronics t6020 anti-glare screen protector for ipad t6020 14.99,screen protectors,i-tec,,,1,11
99,284,netgear powerline av 500 adapter networking netgear,,,xav5001100nas,79.82,0,12
229,2675,netgear xav5001 powerline av 500 adapter powerline network adapters netgear,,,xav5001-100nas,69.99,1,12
100,725,c-line top-load poly sheet protectors heavy gauge letter 200ct stationery & office machinery 62097 28.94,,,,,0,13
244,16800,c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box c-line,storage presentation materials,,,,1,13
2826,16277,new-c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box - cli62097 storage presentation materials,,c-line,,39.0,1,13
106,1893,evga geforce 8400 gs 1gb ddr3 pci express 2.0 graphics card 44.99,electronics - general,evga,01g-p3-1302-lr,,0,14
258,11120,evga geforce 8400 gs 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1302-lr,graphics cards,evga,01g-p3-1302-lr,38.99,1,14
112,853,da-lite matte white concord designer manual screen - 70 x 70 av format electronics - general 76454,,da-lite,,923.99,0,15
286,6747,da-lite designer manual matte white concord finisher - projection screen - matte white projection screens matte white ( concord finisher ),,da-lite,,,1,15
126,1217,verbatim smartdisk acclaim 320gb usb portable hard drive blue hard drives ver97185,,verbatim,,59.84,0,16
313,5249,verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue verbatim 97185,,,,59.84,1,16
104,934,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,,,,32.88,0,17
320,13148,evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr graphics cards 34.88,,evga,512-p3-1310-lr,,1,17
105,387,evga 1gb geforce gt 520 ddr3 graphics card evga 01gp31521kr,electronics - general,,,68.99,0,18
