ltable_id,rtable_id,label,left_id,left_name,left_addr,left_city,left_phone,left_type,left_class,right_id,right_name,right_addr,right_city,right_phone,right_type,right_class,id
92,184,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,1
405,184,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,2
90,184,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,3
393,184,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,4
422,184,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,5
92,174,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,6
405,174,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,7
90,174,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,8
422,174,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,9
410,174,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,10
92,292,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,11
90,292,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,12
393,292,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,13
410,292,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,14
92,307,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,15
405,307,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,16
90,307,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,17
393,307,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,18
422,307,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,19
410,307,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,20
92,310,1,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,21
405,310,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,22
422,310,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,23
92,303,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,24
405,303,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,25
90,303,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,26
393,303,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,27
422,303,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,28
85,303,1,85,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,29
92,172,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,30
90,172,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,31
422,172,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,32
410,172,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,33
92,175,0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,34
405,175,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,35
90,175,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,36
422,175,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,37
410,175,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,38
405,148,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,39
393,148,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,40
410,148,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,41
405,309,0,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,42
110,309,0,110,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,110,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,43
421,309,0,421,` taste of new orleans ',' 889 w. peachtree st. ',atlanta,404/874 -5535,southern,421,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,44
386,309,0,386,bistango,' 1100 peachtree st. ',atlanta,404/724 -0901,mediterranean,386,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,45
396,309,0,396,` french quarter food shop ',' 923 peachtree st. at 8th st. ',atlanta,404/875 -2489,southern,396,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,46
90,299,0,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,299,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,47
422,299,0,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,299,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,48
81,299,1,81,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,299,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,49
393,295,0,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,295,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,50
77,295,1,77,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',atlanta,404/266 -1440,french,77,295,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,51
410,330,0,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,330,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,52
421,330,0,421,` taste of new orleans ',' 889 w. peachtree st. ',atlanta,404/874 -5535,southern,421,330,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,53
396,330,0,396,` french quarter food shop ',' 923 peachtree st. at 8th st. ',atlanta,404/875 -2489,southern,396,330,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,54
91,330,0,91,` restaurant ritz-carlton atlanta ',' 181 peachtree st. ',atlanta,404/659 -0400,continental,91,330,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,55
256,89,0,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,56
247,89,0,247,` fleur de jour ',' 348 e. 62nd st. ',` new york ',212/355 -2020,` coffee bar ',245,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,57
112,89,0,112,bolo,'23 e. 22nd st. ',` new york ',212/228 -2200,mediterranean,191,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,58
23,89,0,23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,59
34,89,0,34,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,60
235,89,0,235,'em pire korea ',' 6 e. 32nd st. ',` new york ',212/725 -1333,asian,233,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,61
256,77,0,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,62
263,77,0,263,` hard rock cafe ',' 221 w. 57th st. ',` new york ',212/489 -6565,american,261,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,63
368,77,0,368,` two two two ',' 222 w. 79th st. ',` new york ',212/799 -0400,american,368,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,64
