ltable_id,rtable_id,label,left_id,left_title,left_manufacturer,left_price,right_id,right_title,right_manufacturer,right_price,id
571,946,0,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,946,adobe cs3 design standard upgrade,,413.99,1
26,946,0,26,adobe premiere pro cs3 upgrade,adobe,299.0,946,adobe cs3 design standard upgrade,,413.99,2
1174,946,0,1174,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,946,adobe cs3 design standard upgrade,,413.99,3
588,946,0,588,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,946,adobe cs3 design standard upgrade,,413.99,4
518,946,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,946,adobe cs3 design standard upgrade,,413.99,5
572,946,0,572,adobe dreamweaver cs3 upgrade,adobe,199.0,946,adobe cs3 design standard upgrade,,413.99,6
592,946,0,592,adobe after effects cs3 upgrade,adobe,299.0,946,adobe cs3 design standard upgrade,,413.99,7
923,946,0,923,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,946,adobe cs3 design standard upgrade,,413.99,8
1251,946,0,1251,adobe acrobat standard 8.0,adobe,449.99,946,adobe cs3 design standard upgrade,,413.99,9
615,946,0,615,adobe creative suite cs3 design standard upgrade,adobe,399.0,946,adobe cs3 design standard upgrade,,413.99,10
361,946,0,361,adobe creative suite cs3 web standard upsell,adobe,799.0,946,adobe cs3 design standard upgrade,,413.99,11
506,946,0,506,corel wordperfect office 12 standard upgrade,corel,149.99,946,adobe cs3 design standard upgrade,,413.99,12
298,946,0,298,state standards grade 6,topics entertainment,29.95,946,adobe cs3 design standard upgrade,,413.99,13
1130,946,0,1130,adobe cs3 design premium macosx dvd,adobe,599.0,946,adobe cs3 design standard upgrade,,413.99,14
6,946,0,6,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,946,adobe cs3 design standard upgrade,,413.99,15
571,3027,1,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,16
518,3027,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,17
506,3027,0,506,corel wordperfect office 12 standard upgrade,corel,149.99,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,18
93,3027,0,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,19
604,3027,0,604,microsoft office small business 2007 full version,microsoft,449.95,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,20
490,3027,0,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,21
1177,3027,0,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95,22
