index,id,title,category,brand,modelno,price,source,entity_id
4,1861,innovera d2130b black compatible high-yield toner print cartridge,printers,innovera,d2130b,58.9,0,1
7,18357,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b,computer accessories,innovera,,78.0,1,1
5,1850,innovera 7653 compatible ink 8000 page-yield red,printers,innovera,7653,54.1,0,2
17,17488,new-7653 compatible ink 8000 page-yield red case pack 1 - 513443,computer accessories,innovera,,97.3,1,2
6,1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black,printers,innovera,m4640,24.99,0,3
21,811,new-m4640 compatible remanufactured high-yield ink case pack 1 - 513508,computer accessories,innovera,,43.99,1,3
2722,16916,innovera m4640 - m4640 compatible remanufactured high-yield ink 484 page-yield black,hard drive bags,innovera,,,1,3
11,925,oki 43502001 type 9 black toner cartridge,printers,oki,4.3502001 e7,98.0,0,4
27,21757,oki 43502001 type 9 black toner cartridge,printer ink toner,oki data,43502001,68.11,1,4
39,155,sumdex slr camera sling pack,mp3 accessories,sumdex,144952,39.99,0,5
95,3446,slr camera sling pack,cases bags,sumdex,poc-484bk,44.59,1,5
40,261,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer,printers,xerox,108r00645,244.84,0,6
96,5192,xerox printers imaging unit phaser 6300 6350 108 r00645,printer ink toner,xerox,108r00645,253.79,1,6
42,1932,hp 56 black inkjet cartridge c6656an,printers,hp,c6656an,23.97,0,7
106,9095,genuine hp 56 c6656an black inkjet print cartridge,inkjet printer ink,hp,c6656an,24.19,1,7
3309,9016,hp 56 black ink cartridge in retail packaging c6656an 140,printer ink toner,hp,hewc6656an,21.5,1,7
53,376,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive,hard drives,toshiba,ph3100u-1e3s,89.0,0,8
119,9389,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver,external hard drives,toshiba,ph3100u-1e3s,80.23,1,8
73,979,simplism protector film for ipad,mp3 accessories,simplism,trpfsipadagen,23.41,0,9
168,9553,simplism protector film for ipad anti-glare,laptop netbook computer accessories,simplism,tr-pfsipad-ag/en,11.47,1,9
72,1246,i-tec ipad anti-glare screen protector,mp3 accessories,i-tec electronics,t6020,17.88,0,10
180,17191,i-tec t6020 ipad r anti-glare screen protector,printers,i-tec,,,1,10
2630,21594,i-tec electronics t6020 anti-glare screen protector for ipad,screen protectors,i-tec,t6020,14.99,1,10
76,284,netgear powerline av 500 adapter,networking,netgear,xav5001100nas,79.82,0,11
186,2675,netgear xav5001 powerline av 500 adapter,powerline network adapters,netgear,xav5001-100nas,69.99,1,11
77,725,c-line top-load poly sheet protectors heavy gauge letter 200ct,stationery & office machinery,,62097,28.94,0,12
201,16800,c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box,storage presentation materials,c-line,,,1,12
2580,16277,new-c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box - cli62097,storage presentation materials,c-line,,39.0,1,12
85,64,los angeles lakers iphone 3g duo case,electronics - general,tribeca,fva4005,24.99,0,13
231,8391,los angeles lakers iphone 3g duo case,computers accessories,tribeca,,9.99,1,13
94,1217,verbatim smartdisk acclaim 320gb usb portable hard drive blue,hard drives,verbatim,ver97185,59.84,0,14
257,5249,verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue,,verbatim,97185,59.84,1,14
80,934,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,0,15
262,13148,evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr,graphics cards,evga,512-p3-1310-lr,34.88,1,15
81,387,evga 1gb geforce gt 520 ddr3 graphics card,electronics - general,evga,01gp31521kr,68.99,0,16
265,3169,evga geforce gt 520 1024 mb ddr3 pci-express 2.0 graphics card 01g-p3-1521-kr,graphics cards,evga,01g-p3-1521-kr,55.17,1,16
99,2253,visontek wireless candyboard mini keyboard with touchpad,electronics - general,visiontek,900319,59.82,0,17
272,11265,visiontek candyboard wireless mini keyboard with touchpad 900319,keyboard mouse combos,visiontek,900319,49.99,1,17
103,131,sabrent usb 2.0 wireless 802.11 g adapter,networking,sabrent,nt-wghu,24.88,0,18
287,5595,sabrent nt-wghu high-power 1000mw wireless usb 802.11 g adapter for wardriving range extension with 7 folding booster 6dbi,computers accessories,sabrent,nt-wghu,24.88,1,18
104,2133,hp c7971a lto ultrium 1 tape cartridge,mp3 accessories,hp,c7971a,39.88,0,19
292,10434,1-pack 100 200gb lto ultrium data cart for surestore ultrium,data cartridges,hp,c7971a,21.99,1,19
3548,8990,hp lto-1 ultrium 100 200gb 609m tape cartridge 1-pack c7971a,batteries,hp,,46.72,1,19
105,874,quantum mr-s4mqn-01 dlttape s4 cartridge,mp3 accessories,quantum,mr-s4mqn-01,97.88,0,20
294,5644,quantum data cartridge dlttape s4 warranty mw,data cartridges,quantum,mr-s4mqn-01,95.24,1,20
120,2412,lexmark x651h11a high-yield toner 25000 page-yield black,printers,lexmark,x651h11a,565.2,0,21
328,7233,x651h11a high-yield toner 25000 page-yield black,inkjet printer ink,lexmark,,413.69,1,21
121,1771,lexmark c9202 toner 14000 page-yield,printers,lexmark,c9202kh,288.86,0,22
338,235,new-c9202kh toner 14000 page yield black case pack 1 - 516736,computer accessories,lexmark,,663.42,1,22
122,2295,lexmark 18c2249 36xl 37xl high-yield ink 500 page-yield 2 pack black,printers,lexmark,18c2249,66.99,0,23
