ltable_id,rtable_id,label,left_id,left_title,left_category,left_brand,left_modelno,left_price,right_id,right_title,right_category,right_brand,right_modelno,right_price,id
581,17384,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17384,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,,,1
581,16963,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,2
1136,16963,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,3
581,17697,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,4
1136,17697,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,5
1502,3825,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,6
1229,3825,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,7
1502,14348,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,8
1229,14348,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,9
226,14348,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,10
1502,7555,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,7555,penn state nittany lions iphone 4 case silicone cover cases,,tribeca,,17.99,11
1502,9913,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,9913,alabama crimson tide iphone 4 case silicone cover computers accessories 17.74,,tribeca,,,12
226,9913,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,9913,alabama crimson tide iphone 4 case silicone cover computers accessories 17.74,,tribeca,,,13
1229,7131,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,7131,north carolina tar heels iphone 4 case silicone cover tribeca 19.99,computers accessories,,,,14
226,7131,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,7131,north carolina tar heels iphone 4 case silicone cover tribeca 19.99,computers accessories,,,,15
363,7131,0,363,north carolina tar heels pro grip mouse msu045,mice,team pro mark,,26.99,7131,north carolina tar heels iphone 4 case silicone cover tribeca 19.99,computers accessories,,,,16
226,9013,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,9013,washington capitals iphone 4 case silicone cover tribeca,cases,,,17.99,17
226,15314,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,15314,los angeles angels iphone 3g 3gs silicone case tribeca 9.99,cases,,fva2034,,18
337,20538,0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92,19
1861,20538,0,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,20538,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92,20
337,19585,0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,19585,innovera pc201 compatible thermal print cartridge ribbon black 13.13,printer ink toner,innovera,,,21
337,4883,0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,,22
1861,4883,0,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,,23
1850,4883,0,1850,innovera 7653 compatible ink 8000 page-yield red 7653,printers,innovera,,54.1,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,,24
1528,4883,0,1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black printers innovera,,,m4640,24.99,4883,innovera 104 - 104 compatible toner 2000 page-yield black innovera,computer accessories,,,,25
337,18357,0,337,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,18357,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b computer accessories,,innovera,,78.0,26
1861,18357,1,1861,innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,innovera,d2130b,,18357,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b computer accessories,,innovera,,78.0,27
