index,id,title,authors,venue,year,source,entity_id
0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994.0,0,1
1,44470,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,1,1
3,1401,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997.0,0,2
4,37650,revisiting commit processing performance in distributed database systems,"r gupta , j haritsa , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,1,2
29,842,temporal database system implementations,m bіhlen,sigmod record,1995.0,0,3
13,42920,temporal database system implementations,hb michael,"acm sigmod record ,",,1,3
14,29504,temporal database system implementations,m bã ¶ hlen,"acm sigmod record ,",1995.0,1,3
128,7509,temporal database system implementations,mh bohlen,"acm sigmod record ,",,1,3
983,37892,"temporal database system implementations , 1995",mh boehlen,"department of mathematics and computer science , aalborg",,1,3
26,120,promises and realities of active database systems,"e simon , a dittrich",vldb,1995.0,0,4
16,45055,promises and realities of active database systems,"e simon , a kotz-dittrich","proceedings of the international conference on very large & hellip ; ,",1995.0,1,4
30,1404,temporal aggregation in active database rules,"i motakis , c zaniolo",sigmod conference,1997.0,0,5
20,61633,temporal aggregation in active databases,"i motakis , c zaniolo","int . conf . on the management of data ,",,1,5
21,55371,temporal aggregation in active database rules,", c zaniolo",,,1,5
22,48623,temporal reasoning in active databases,i motakis,,1997.0,1,5
1513,62555,zaniolo . temporal aggregation in activedatabase rules,i motakis andc,acm intl. conference on management of data,,1,5
25,1407,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997.0,0,6
43,43981,secure processing in real-time database systems,"b george , j haritsa","proc . of acm sigmod conf ,",,1,6
5,2030,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003.0,0,7
45,18418,locating data sources in large distributed systems,"l galanis , y wang , sr jeffery , dj dewitt","vldb ,",2003.0,1,7
10,1239,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch",vldb,2001.0,0,8
52,9716,smooth-a distributed multimedia database system,"h kosch , c hanin , c hofbauer , m lang , c riedler , r","vldb ,",2001.0,1,8
4,2528,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996.0,0,9
64,32033,mariposa : a wide-area distributed database system,"m stonebraker , pm aoki , w litwin , a pfeffer , a sah","the vldb journal the international journal on very large & hellip ; ,",1996.0,1,9
