index,id,name,addr,city,phone,type,class,source,entity_id
0,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,0,1
4,310,toulouse,' 293-b peachtree rd. ',atlanta,404-351-9533,` french ( new ) ',92,1,1
6,85,` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',atlanta,404/231 -1368,italian,85,0,2
5,303,` la grotta ',' 2637 peachtree rd. ne ',atlanta,404-231-1368,italian,85,1,2
11,81,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81,0,3
10,299,` georgia grille ',' 2290 peachtree rd. ',atlanta,404-352-3517,southwestern,81,1,3
12,77,` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',atlanta,404/266 -1440,french,77,0,4
11,295,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,1,4
17,23,'21 club ','21 w. 52nd st. ',` new york ',212/582 -7200,american,23,0,5
15,241,'21 club ','21 w. 52nd st. ',` new york city ',212-582-7200,` american ( new ) ',23,1,5
32,3,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788 -3536,french,3,0,6
23,221,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818-788-3536,` french bistro ',3,1,6
30,1,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,american,1,0,7
24,219,` art \ 's deli ',' 12224 ventura blvd. ',` studio city ',818-762-1221,delis,1,1,7
34,59,seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59,0,8
26,277,seryna,'11 e. 53rd st. ',` new york city ',212-980-9393,japanese,59,1,8
38,40,` la cote basque ','60 w. 55th st. between 5th and 6th ave. ',` new york ',212/688 -6525,french,40,0,9
27,258,` la cote basque ','60 w. 55th st. ',` new york city ',212-688-6525,` french ( classic ) ',40,1,9
40,33,felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,0,10
29,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,1,10
36,43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,0,11
31,261,` lespinasse ( new york city ) ',' 2 e. 55th st. ',` new york city ',212-339-6719,asian,43,1,11
44,44,lutece,' 249 e. 50th st. ',` new york ',212/752 -2225,french,44,0,12
32,262,lutece,' 249 e. 50th st. ',` new york city ',212-752-2225,` french ( classic ) ',44,1,12
47,32,dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,0,13
33,250,dawat,' 210 e. 58th st. ',` new york city ',212-355-7555,indian,32,1,13
41,46,march,' 405 e. 58th st. ',` new york ',212/754 -6272,american,46,0,14
36,264,march,' 405 e. 58th st. ',` new york city ',212-754-6272,` american ( new ) ',46,1,14
39,52,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52,0,15
37,270,petrossian,' 182 w. 58th st. ',` new york city ',212-245-2214,russian,52,1,15
75,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,0,16
44,268,oceana,'55 e. 54th st. ',` new york city ',212-759-5941,seafood,50,1,16
73,24,aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24,0,17
47,242,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24,1,17
83,86,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,southern,86,0,18
53,304,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404-876-1800,southern/soul,86,1,18
7,110,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,110,0,19
56,328,` ritz-carlton dining room ( san francisco ) ',' 600 stockton st. ',` san francisco ',415-296-7465,` french ( new ) ',110,1,19
87,98,` campton place ',' 340 stockton st. ',` san francisco ',415/955 -5555,american,98,0,20
57,316,` campton place ',' 340 stockton st. ',` san francisco ',415-955-5555,` american ( new ) ',98,1,20
72,62,` smith & wollensky ',' 201 e. 49th st. ',` new york ',212/753 -1530,american,62,0,21
63,280,` smith & wollensky ',' 797 third ave. ',` new york city ',212-753-1530,steakhouses,62,1,21
91,16,patina,' 5955 melrose ave. ',` los angeles ',213/467 -1108,californian,16,0,22
67,234,patina,' 5955 melrose ave. ',` los angeles ',213-467-1108,californian,16,1,22
94,6,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,0,23
68,224,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,6,1,23
92,12,` le chardonnay ',' 8284 melrose ave. ',` los angeles ',213/655 -8880,french,12,0,24
69,230,` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',12,1,24
97,55,` rainbow room ','30 rockefeller plaza ',` new york ',212/632 -5000,` or 212/632 -5100 american ',55,0,25
75,273,` rainbow room ','30 rockefeller plaza ',` new york city ',212-632-5000,` american ( new ) ',55,1,25
98,97,` cafe claude ',' 7 claude la . ',` san francisco ',415/392 -3505,french,97,0,26
76,315,` cafe claude ',' 7 claude ln . ',` san francisco ',415-392-3505,` french bistro ',97,1,26
100,69,` le montrachet ',' 3000 w. paradise rd. ',` las vegas ',702/732 -5111,continental,69,0,27
78,287,` le montrachet bistro ',' 3000 paradise rd. ',` las vegas ',702-732-5651,` french bistro ',69,1,27
101,21,valentino,' 3115 pico blvd. ',` santa monica ',310/829 -4313,italian,21,0,28
81,239,valentino,' 3115 pico blvd. ',` santa monica ',310-829-4313,italian,21,1,28
128,41,` le bernardin ',' 155 w. 51st st. ',` new york ',212/489 -1515,french,41,0,29
103,259,` le bernardin ',' 155 w. 51st st. ',` new york city ',212-489-1515,seafood,41,1,29
133,14,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310/659 -9639,asian,14,0,30
104,232,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310-659-9639,seafood,14,1,30
134,0,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,american,0,0,31
105,218,` arnie morton \ 's of chicago ',' 435 s. la cienega blvd. ',` los angeles ',310-246-1501,steakhouses,0,1,31
132,11,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` los angeles ',310/652 -9770,french,11,0,32
106,229,` l \ ` orangerie ',' 903 n. la cienega blvd. ',` w. hollywood ',310-652-9770,` french ( classic ) ',11,1,32
139,49,montrachet,' 239 w. broadway between walker and white sts . ',` new york ',' 212 / 219-2777 ',french,49,0,33
115,267,montrachet,' 239 w. broadway ',` new york city ',212-219-2777,` french bistro ',49,1,33
143,106,` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,french,106,0,34
118,324,` masa \ 's ',' 648 bush st. ',` san francisco ',415-989-7154,` french ( new ) ',106,1,34
146,47,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47,0,35
122,265,` mesa grill ',' 102 fifth ave. ',` new york city ',212-807-7400,southwestern,47,1,35
150,26,` cafe lalo ',' 201 w. 83rd st. ',` new york ',212/496 -6031,` coffee bar ',26,0,36
123,244,` cafe lalo ',' 201 w. 83rd st. ',` new york city ',212-496-6031,coffeehouses,26,1,36
151,87,` nikolai \ 's roof ',' 255 courtland st. at harris st. ',atlanta,404/221 -6362,continental,87,0,37
124,305,` nikolai \ 's roof ',' 255 courtland st. ',atlanta,404-221-6362,continental,87,1,37
159,105,lulu,' 816 folsom st. ',` san francisco ',415/495 -5775,mediterranean,105,0,38
133,323,` lulu restaurant-bis-cafe ',' 816 folsom st. ',` san francisco ',415-495-5775,mediterranean,105,1,38
161,88,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,international,88,0,39
137,306,` pano \ 's & paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404-261-3662,` american ( new ) ',88,1,39
25,65,` union square cafe ','21 e. 16th st. ',` new york ',212/243 -4020,american,65,0,40
141,283,` union square cafe ','21 e. 16th st. ',` new york city ',212-243-4020,` american ( new ) ',65,1,40
168,95,aqua,' 252 california st. ',` san francisco ',415/956 -9662,seafood,95,0,41
146,313,aqua,' 252 california st. ',` san francisco ',415-956-9662,` american ( new ) ',95,1,41
172,56,` river cafe ',' 1 water st. at the east river ',brooklyn,718/522 -5200,american,56,0,42
149,274,` river cafe ',' 1 water st. ',brooklyn,718-522-5200,` american ( new ) ',56,1,42
109,7,fenix,' 8358 sunset blvd. west ',hollywood,213/848 -6677,american,7,0,43
150,225,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,1,43
173,111,` rose pistola ',' 532 columbus ave. ',` san francisco ',415/399 -0499,italian,111,0,44
152,329,` rose pistola ',' 532 columbus ave. ',` san francisco ',415-399-0499,italian,111,1,44
177,15,` the palm ',' 9001 santa monica blvd. ',` los angeles ',310/550 -8811,american,15,0,45
156,233,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,1,45
183,54,pisces,'95 ave. a at 6th st. ',` new york ',212/260 -6660,seafood,54,0,46
160,272,pisces,'95 ave. a ',` new york city ',212-260-6660,seafood,54,1,46
184,8,granita,' 23725 w. malibu rd. ',malibu,310/456 -0488,californian,8,0,47
161,226,granita,' 23725 w. malibu rd. ',malibu,310-456-0488,californian,8,1,47
67,35,` gotham bar & grill ','12 e. 12th st. ',` new york ',212/620 -4020,american,35,0,48
162,253,` gotham bar & grill ','12 e. 12th st. ',` new york city ',212-620-4020,` american ( new ) ',35,1,48
185,10,` restaurant katsu ',' 1972 n. hillhurst ave. ',` los angeles ',213/665 -1891,asian,10,0,49
163,228,katsu,' 1972 hillhurst ave. ',` los feliz ',213-665-1891,japanese,10,1,49
186,104,` la folie ',' 2316 polk st. ',` san francisco ',415/776 -5577,french,104,0,50
165,322,` la folie ',' 2316 polk st. ',` san francisco ',415-776-5577,` french ( new ) ',104,1,50
194,19,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213/627 -2300,italian,19,0,51
172,237,` rex il ristorante ',' 617 s. olive st. ',` los angeles ',213-627-2300,` nuova cucina italian ',19,1,51
202,17,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,american,17,0,52
178,235,` philippe the original ',' 1001 n. alameda st. ',chinatown,213-628-3781,cafeterias,17,1,52
205,78,` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,american,78,0,53
183,296,` buckhead diner ',' 3073 piedmont rd. ',atlanta,404-262-3336,` american ( new ) ',78,1,53
206,2,` hotel bel-air ',' 701 stone canyon rd. ',` bel air ',310/472 -1211,californian,2,0,54
184,220,` bel-air hotel ',' 701 stone canyon rd. ',` bel air ',310-472-1211,californian,2,1,54
208,53,picholine,'35 w. 64th st. ',` new york ',212/724 -8585,mediterranean,53,0,55
186,271,picholine,'35 w. 64th st. ',` new york city ',212-724-8585,mediterranean,53,1,55
209,64,` uncle nick \ 's ',' 747 9th ave. between 50th and 51st sts . ',` new york ',212/315 -1726,mediterranean,64,0,56
187,282,` uncle nick \ 's ',' 747 ninth ave. ',` new york city ',212-245-7992,greek,64,1,56
211,102,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415/777 -9779,american,102,0,57
189,320,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415-777-9779,californian,102,1,57
213,9,` grill on the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,american,9,0,58
191,227,` grill the ',' 9560 dayton way ',` beverly hills ',310-276-0615,` american ( traditional ) ',9,1,58
215,13,` locanda veneta ',' 3rd st. ',` los angeles ',310/274 -1893,italian,13,0,59
193,231,` locanda veneta ',' 8638 w. third st. ',` los angeles ',310-274-1893,italian,13,1,59
218,4,campanile,' 624 s. la brea ave. ',` los angeles ',213/938 -1447,american,4,0,60
196,222,campanile,' 624 s. la brea ave. ',` los angeles ',213-938-1447,californian,4,1,60
219,29,` carnegie deli ',' 854 7th ave. between 54th and 55th sts . ',` new york ',212/757 -2245,delicatessen,29,0,61
197,247,` carnegie deli ',' 854 seventh ave. ',` new york city ',212-757-2245,delis,29,1,61
221,22,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22,0,62
199,240,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22,1,62
222,38,` jo jo ',' 160 e. 64th st. ',` new york ',212/223 -5656,american,38,0,63
46,256,` jo jo ',' 160 e. 64th st. ',` new york city ',212-223-5656,` french bistro ',38,1,63
162,82,` hedgerose heights inn ',' 490 e. paces ferry rd. ',atlanta,404/233 -7673,international,82,0,64
