ltable_id,rtable_id,label,left_id,left_title,left_category,left_brand,left_modelno,left_price,right_id,right_title,right_category,right_brand,right_modelno,right_price,id
581,17384,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17384,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,,,1
581,16963,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,2
1136,16963,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,16963,powergain prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,3
581,17380,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17380,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,,elite,,,4
1136,17380,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17380,cinewhite prime vision series fixed frame screen - 120 diagonal projection screens 929.0,,elite,,,5
581,17697,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,6
1136,17697,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17697,cinewhite cinema235 series fixed frame wide screen - 96 diagonal 459.0,projection screens,elite,,,7
581,17383,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17383,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,8
1136,17383,1,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17383,cinegray prime vision series fixed frame screen - 135 diagonal projection screens elite 1069.0,,,,,9
581,17382,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,10
1136,17382,0,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,,pvr135h1,,17382,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal projection screens elite,,,,205.2,11
581,260,0,581,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,260,cinegray ezframe series fixed frame screen - 84 diagonal projection screens 519.0,,elite,,,12
1502,3825,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,13
1229,3825,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,3825,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,,14
1502,14348,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,15
226,14348,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,16
1229,14348,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,14348,san antonio spurs iphone 4 case silicone cover tribeca,computers accessories,,,17.99,17
1502,2613,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,18
226,2613,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,19
1229,2613,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,2613,texas longhorns iphone 4 case silicone cover computers accessories,,tribeca,,19.99,20
1502,13388,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99,21
226,13388,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99,22
1229,13388,0,1229,michigan wolverines iphone 4 case silicone cover electronics - general tribeca 24.99,,,fva3437,,13388,lsu tigers iphone 4 case silicone cover,computers accessories,tribeca,,17.99,23
1502,14005,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,14005,utah jazz iphone 4 case silicone cover,computers accessories,tribeca,,17.99,24
226,14005,0,226,los angeles angels of anaheim iphone 4 case silicone cover fva3955,electronics - general,tribeca,,24.99,14005,utah jazz iphone 4 case silicone cover,computers accessories,tribeca,,17.99,25
1502,16444,0,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,16444,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99,26
671,16444,0,671,wisconsin badgers iphone 4 case black shell electronics - general fva3175 29.99,,tribeca,,,16444,wisconsin badgers iphone 4 case silicone cover computers accessories tribeca,,,,17.99,27
