index,id,name,description,price,source,entity_id
0,730,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,0,1
2,779,lg semi-integrated electronic panel with digital status display dishwasher,,,1,1
5,74,whirlpool 24 ' built-in dishwasher du1055ss,whirlpool 24 ' built-in dishwasher du1055ss 14-five piece place setting super capacity tub 5 level direct feed sheerclean wash system 4 cycles soak and scour option anyware plus silverware basket quiet partner i sound package energy star qualified black on stainless finish,491.0,0,2
3,870,whirlpool du1055xtss 6 ' console undercounter dishwasher ( stainless steel ),,359.0,1,2
2,220,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrey interior idry intelligent saharadry system silentdesign sound insulation package 12 easy clean electronic touchpads digital display 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,0,3
4,314,"pld4555rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel , energy star )",,549.0,1,3
3,355,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,0,4
6,860,frigidarie gld4355rf 24 ' gallery speed clean dishwasher ( black ),,451.29,1,4
4,39,ge gsd4000nww white built-in dishwasher gsd4000wh,ge gsd4000nww white built-in dishwasher gsd4000wh 5-level powerscrub wash system with powershower electronic controls 100 percent water filtration with extrafine filter 2/4/8-hour delay start china/crystal cycle white finish,,0,5
7,984,ge gsd4000nww dishwasher with 5 wash cycles std tub estar ( white ) gsd4000nww,,313.29,1,5
11,622,speck seethru aqua hard shell case for 20 ' imac im20aqusee,speck seethru aqua hard shell case for 20 ' imac im20aqusee adds color and style to imac easy and safe to use totally removable case does not cover the screen or camera fits 20 ' widescreen imac aqua finish,,0,6
11,527,speck products seethru case for apple imac lcd im20-aqu-see,aqua,,1,6
16,159,denon progressive scan universal dvd player dvd2930ci,denon progressive scan universal dvd player dvd2930ci ac 120 volts 60 hertz 45 watts infrared pulse remote control,849.0,0,7
12,239,denon dvd-2930ci dvd player dvd2930ci,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black",448.0,1,7
19,984,sharp aquos blu ray disc player in black and silver bdhp21u,sharp aquos blu ray disc player in black and silver bdhp21u especially designed to work with aquos lcd tvs hdmi output full 1080p hd resolution dolby truehd hdmi up-scaling backwards compatible aquos link function quick start hdmi 1080p 24hz output black and silver finish,299.0,0,8
13,1039,sharp aquos bd-hp21u blu-ray disc player,"bd-re , dvd + rw , dvd-rw , cd-rw bd video , dvd video , jpeg , cd-da , mpeg-2 , vc-1 , ac3 , lpcm playback progressive scan",218.63,1,8
12,497,denon blu-ray disc dvd/cd player dvd3800bdci,denon blu-ray disc dvd/cd player dvd3800bdci 10-bit realta hqv video processor 1080p/24fps output and multi-cadence detection hdmi 1.3 a output with 36-bit deep color support dual 32-bit floating point dsp multi-layered construction with dual-layered top shields and triple-layered bottom suppress vibration hybrid ( s.v.h. ) loader black finish,1999.0,0,9
14,881,denon dvd-3800bdci blu-ray disc player dvd3800bdci,"bd-r , dvd-rw , cd-rw , secure digital ( sd ) dvd video , cd-da , mp3 , wma , jpeg , divx 6 , pcm playback progressive scan",,1,9
32,831,toshiba xde black 1080p upconversion extended detail dvd player xde500,toshiba xde black 1080p upconversion extended detail dvd player xde500 full 1080p upconversion with 24 frames per second detail enhancement intelligent color contrast enhancement divx certified black finish,99.0,0,10
16,924,toshiba xd-e500 upconversion dvd player,"dvd-rw , cd-rw dvd video , cd-da , jpeg , wma , mp3 , pcm playback progressive scan",81.96,1,10
33,738,samsung black blu-ray player bdp1500,"samsung black blu-ray player bdp1500 1080p with 24hz video output x.v.color connectivity ( hdmi v1 .3 option ) selectable dvd upconversion ( 720p/1080i/1080p ) anynet + ( hdmi-cec ) dolby digital , dolby digital plus , dolby truehd and dts-hd master audio ethernet port black finish",,0,11
17,835,samsung bdp-1500 blu-ray dvd player bdp1500,,218.2,1,11
34,724,samsung black combo dvd/vhs player dvdv9800,samsung black combo dvd/vhs player dvdv9800 progressive scan 1080p up-conversion via hdmi 10bit 54mhz digital-to-analog converter 4-head hi-fi vcr black finish no tuner,98.0,0,12
18,737,samsung dvd-v9800 dvd/vcr combo player w / 1080p up-conversion,,85.06,1,12
15,158,denon 5 disc cd player black finish dcm390,"denon 5 disc cd player dcm390 cd-r/rw playback mp3 , wma and hdcd decoding advanced multilevel noise shaping dac 8 times oversampling digital filter 3 mode random playback intelligent disc scan 20 selection music calendar display black finish",349.0,0,13
19,207,denon dcm-390 5 disc cd changer dcm390,,348.0,1,13
41,217,sony scph-98046 playstation 3 blu-ray dvd remote control 711719804604,sony scph-98046 playstation 3 blu-ray dvd remote control 711719804604 full access to the playstation 3 systems disc features can be used without having to point directly at the system,24.99,0,14
21,286,sony playstation 3 blu-ray dvd remote 98046,,18.44,1,14
22,252,sony slv-d380p black dvd vhs combo player slvd380p,"sony slv-d380p black dvd vhs combo player slvd380p line input recording component output progressive output multi-brand tv remote control cd , mp3 , and jpeg playback 4-head hi-fi stereo auto head cleaner black finish no tuner",,0,15
23,350,sony slvd380p dvd/vcr combo,"vhs , dvd-r , cd-r dvd video , mp3 playback progressive scan",,1,15
27,511,toshiba black portable dvd player sdp71s,toshiba black portable dvd player sdp71s 7 ' widescreen tft lcd display up to 3 hour lithium battery life jpeg viewer switchable audio/video input and output black finish,,0,16
24,664,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,1,16
46,1051,coby 7 ' black widescreen tft portable dvd cd mp3 player tfdvd7006,"coby 7 ' black widescreen tft portable dvd cd mp3 player tfdvd7006 compact portable design 480 x 240 display resolution 16:9 widescreen tft color display dvd , dvd ± r/rw , cd , cd-r/rw , jpeg and mp3 compatible anti-skip circuitry dolby digital decoder digital and analog av outputs ntsc/pal video system black finish",97.0,0,17
26,298,coby electronics tf-dvd7006 portable dvd player tfdvd7006,coby tf-dvd7006 7 ' widescreen portable dvd player,70.32,1,17
48,26,sony compact disc player/recorder rcdw500c,"sony compact disc player/recorder rcdw500c 5-cd/dual deck with 4x high speed dubbing cd , cd-r , cd-rw , mp3 playback capable super bit mapping recording high speed finalizing",299.0,0,18
29,201,sony compact disc player/recorder rcdw500c,"cd-r , cd-rw , cd-rom cd-text , mp3 playback 5 disc ( s ) 24 programmable track ( s )",219.76,1,18
49,644,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t 3 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,0,19
32,635,panasonic kx-tg9343t cordless phone,panasonic kx-tg9343t dect 6.0 expandable digital cordless answering system w/3 handsets,102.12,1,19
63,999,panasonic dect 6.0 2-line digital expandable corded/cordless phone system kxtg9391t,panasonic dect 6.0 2-line digital expandable corded/cordless phone system kxtg9391t dect 6.0 digital technology ( 1.9 ghz frequency ) expandable up to 6 total handsets wifi friendly digital answering system 50 number caller id memory 100 number phonebook digital speakerphone on handset and base light-up indicator with ringer alert white backlit 3-line lcd black finish,179.0,0,20
33,1075,panasonic kx-tg9391t dect 6.0 two-line corded/cordless phone combo kx-tg9391t,,149.72,1,20
59,279,panasonic expandable digital cordless dect 6.0 answering system in silver kxtg1034s,panasonic expandable digital cordless dect 6.0 answering system in silver kxtg1034s 4 handsets extended talk time reduced interference all-digital answering system up to 17 hours of talk time expandable up to 6 handsets up to 3-way conference capability built-in clock with alarm digital speakerphone on handset silver finish,,0,21
37,301,panasonic kx-tg1034s dect 6.0 cordless phone kx-tg1034s,panasonic dect 6.0 series 4 handset cordless phone system with answering system,89.45,1,21
76,10,panasonic integrated telephone system kxts108w,panasonic integrated telephone system kxts108w 16 digit lcd with clock hands free speakerphone built-in data port 10-station one-touch dialing 3-step ringer volume white finish,44.0,0,22
38,34,panasonic kx-ts108w corded phone,1 x phone line ( s ) white,,1,22
58,427,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b compatible with dect kx-tg8231 / 8232 series phone systems dect 6.0 technology answering system with compatible base unit call waiting caller id join in/privacy full color backlit lcd display black finish,,0,23
40,460,panasonic kx-tga820b cordless handset,black,39.76,1,23
54,789,panasonic dect 6.0 silver digital cordless handset kxtga630s,panasonic dect 6.0 silver digital cordless handset kxtga630s for use with panasonic 6300 and 9300 series phone systems dect 6.0 technology 60 channels call waiting caller id 1.4 ' amber backlit lcd display wall mountable 11 days standby time 5 hours talk time silver finish,29.99,0,24
41,517,panasonic kx-tga630s cordless handset,silver pearl wall-mountable,28.34,1,24
50,190,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b frequency-hopping spread spectrum technology all-digital voice mail system handles up to 4 lines tollsaver 2-way recording black finish,,0,25
43,139,panasonic kx-tg4500b corded/cordless telephone,4 x phone line ( s ) black,,1,25
55,15,panasonic hands free headset kxtca92,panasonic hands free headset kxtca92 comfort fit with fold design noise cancelling microphone volume control mute standard 2.5 mm connection,25.0,0,26
46,56,panasonic kx-tca92 headset,over-the-head,18.42,1,26
80,147,panasonic 5.8 ghz add-on handset for the kxtg6700b phone system black finish kxtga670b,panasonic 5.8 ghz add-on handset for the kxtg6700b 2 line phone system kxtga670b 5.8 ghz digital spread spectrum operation 3-line backlit lcd display on handset 50 caller id memory voice-mail message waiting indicator black finish,,0,27
47,141,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,1,27
74,293,panasonic white integrated telephone system kxts600w,panasonic white integrated telephone system kxts600w speakerphone one-touch dialer 3-line lcd data port wall mountable white finish,,0,28
48,147,panasonic kx-ts600w basic telephone,"1 x phone line ( s ) 1 x headset , 1 x data white",,1,28
97,857,panasonic black lumix 10.1 megapixel digital camera dmcfz28k,panasonic black lumix 10.1 megapixel digital camera dmcfz28k 10.1 megapixel 27 - 486mm f/2 .8 -4.4 leica dc lens 2.7 ' tft lcd display ( 230k dots ) 18x optical zoom intelligent auto mode burst mode auto angle detection 50mb built-in memory black finish,,0,29
49,1012,panasonic lumix dmc-fz28 digital camera black,"panasonic dmc-fz28k lumix 10 megapixel digital camera with 27mm leica dc vario-elmarit lens , 18x optical zoom and intelligent auto mode black",,1,29
79,748,panasonic 60gb hard drive camcorder sdrh60,panasonic 60gb hard drive camcorder sdrh60 advanced optical image stabilization 60gb internal hard drive up to 64 hours recording time anti-shock shield one-touch dvd copying wind noise reduction intelligent contrast control built-in sd slot 50x optical zoom silver finish,,0,30
50,648,panasonic palmcorder sdr-h60 digital camcorder sdr-h60s,"panasonic sdr-h60 60gb hard disk drive/sd hybrid camcorder with 50x optical zoom , advanced optical image stabilization , one-touch dvd copy , anti-shock shield and one-touch navigation , records to internal hard drive or sd card",,1,30
107,122,uniden 5.8 ghz accessory handset and charger tcx905,uniden 5.8 ghz accessory handset and charger tcx905 base keypad handset speakerphone caller id/call waiting deluxe directlink technology advanced phonebook features trilingual menu displays,,0,31
53,146,uniden tcx905 cordless handset tcx905,uniden tcx-905 tru-digital expansion handset with caller id,,1,31
117,687,sony black 13.6 megapixel cyber-shot digital camera dscw300,sony black 13.6 megapixel cyber-shot digital camera dscw300 13.6 megapixel carl zeiss 3x optical zoom lens 2.7 ' clear photo lcd display in-camera retouching 15 mb internal memory in-camera red-eye correction super steadyshot optical image stabilization double anti-blur solution black finish,,0,32
58,846,sony cyber-shot dsc-w300 digital camera,13.6 megapixel 16:9 3x optical zoom 2x digital zoom 2.7 ' color lcd,289.0,1,32
125,143,nikon rechargeable li-ion battery black finish 25334,"nikon enel3e rechargeable li-ion battery 25334 compatible d700 , d200 , d80 , d300 , d90 nikon digital cameras",,0,33
59,245,nikon en-el3e lithium ion digital camera battery 25334,nikon en-el3e rechargeable li-ion battery,34.24,1,33
129,208,nikon en-el9 black rechargeable li-ion battery enel9,nikon en-el9 black rechargeable li-ion battery enel9 compatible with d40 and d60 digital camera black finish,,0,34
60,294,nikon en-el9 lithium ion digital camera battery pack 25353,lithium ion ( li-ion ) 7.4 v dc photo battery,35.65,1,34
132,261,olympus ps-bls1 lithium ion rechargeable battery liionpsbls1,olympus ps-bls1 lithium ion rechargeable battery liionpsbls1 double your shooting time with a spare battery for the evolt e-410,,0,35
62,336,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,,1,35
77,25,panasonic laser toner cartridge kxfa83,panasonic laser toner cartridge kxfa83 used with fl511/f541 fax machines,,0,36
64,21,panasonic black toner cartridge kx-fa83,"panasonic toner cartridge for the kx-fl511 , kx-fl541 , kx-fl611 and kx-flm651 series",,1,36
133,543,panasonic black blu-ray disc theater sound system scbt100,panasonic black blu-ray disc theater sound system scbt100 full audio codec for blu-ray disc full-hd 1080p virtual 7.1 channel surround with 5 speakers integrated universal dock for ipod on-screen display for ipod music menu ipod video playback sd memory card slot powerful bass sound ` kelton subwoofer ' ` bamboo diaphragm ' center and front speakers wireless rear speaker system whisper-mode surround black finish,,0,37
68,758,panasonic sc-bt100 home theater system sc-bt100p-k,"bd player , 5.1 speakers 1 disc ( s ) progressive scan 1250w rms dolby digital , dolby truehd , dolby digital plus , dts-hd , dts",,1,37
72,336,uniden dect 6.0 cordless digital answering system dect20802,uniden dect 6.0 cordless digital answering system dect20802 dect 6.0 interference free cordless frequency maximum voice security wireless network friendly expandable conference call caller id/call waiting up to 16 hours talk time,,0,38
69,392,uniden dect 6.0 1.9 ghz cordless phone dect2080-2,1 x phone line ( s ),46.72,1,38
160,612,sony black soft carrying case lcsx30,sony black soft carrying case lcsx30 stain resistant nylon case increased interior capacity modular interface black finish,,0,39
73,616,sony camcorder case lcsx30,"nylon , polyester",,1,39
155,439,sony 40gb high definition hard disk drive handycam camcorder hdrsr10,sony 40gb high definition hard disk drive handycam camcorder hdrsr10 1920 x 1080 recording face detection 2.3 megapixel clearvid cmos sensor bionz image processor exmor imaging sensor 15x optical/180x digital zoom 2.7 ' wide ( 16:9 ) hybrid touch panel clear photo lcd plus display dolby digital 5.1 ch recording dynamic range optimizer super nightshot infrared system x.v. color technology,,0,40
75,579,sony handycam hdr-sr10 high definition digital camcorder hdrsr10,16:9 2.7 ' hybrid lcd,549.0,1,40
169,575,sony black handycam camcorder soft carrying case lcsx20,sony black handycam camcorder soft carrying case lcsx20 compatible to hard drive and dvd camcorders stain resistant nylon organizer for accessories shoulder held case,,0,41
76,585,sony lcs-x20 camcorder case lcsx20,"nylon , polyamide black",,1,41
152,464,sony silver minidv handycam camcorder dcrhc52,sony silver minidv handycam camcorder dcrhc52 680k pixels imager carl zeiss vario-tessar lens 40x optical zoom and 2000x digital zoom 2.5 ' touch panel lcd display super steadyshot image stabilization super nightshot plus technology easy handycam button fader effects manual focus multi-language menu silver finish,,0,42
77,576,sony handycam dcr-hc52 digital camcorder dcrhc52,16:9 2.5 ' color lcd,229.0,1,42
171,864,lacie little disk 250gb black portable hard drive 301278,"lacie little disk 250gb black portable hard drive 301278 compact , thin and lightweight design back up , synchronize and secure files and settings extractable integrated usb cable and protective cap hi-speed usb 2.0 pc and mac compatible black finish",99.0,0,43
78,430,lacie little disk hard drive 301278,lacie little disk 250gb usb 2.0 5400rpm portable external hard drive,79.99,1,43
176,456,canon silver dual flash memory camcorder fs11,canon silver dual flash memory camcorder fs11 16gb internal flash drive sdhc card slot built-in electronic lens cover wireless remote control 2.7 ' widescreen lcd 1.07 megapixel ccd image sensor 48x advanced zoom moonstone silver finish,,0,44
80,510,canon fs11 digital camcorder 2685b001,canon fs11 flash memory camcorder,405.97,1,44
164,452,canon dvd camcorder dc320,canon dvd camcorder dc320 image stabilization widescreen hr recording 2.7 ' lcd screen smooth zoom control built-in lens cover 9 digital effects/9 fades 21 selectable display languages 37x optical/2000x digital zoom silver finish,,0,45
82,507,canon dc320 digital camcorder 2691b001,canon dc320 dvd digital camcorder,299.99,1,45
175,1009,canon black bp-808 camcorder battery pack 2740b002,"canon black bp-808 camcorder battery pack 2740b002 compatible with dual flash memory , flash memory and hard disk drive camcorders black finish",,0,46
89,583,canon bp-808 lithium ion camcorder battery pack 2740b002,lithium ion ( li-ion ) photo battery,51.84,1,46
154,450,canon vixia high definition camcorder hf100,canon vixia high definition camcorder hf100 2.7 ' color widescreen lcd 12x hd video zoom lens 3.3 megapixel digic dv ii image processor 200x digital zoom rgb primary color filter built-in electronic lens cover,,0,47
92,506,canon vixia hf100 high definition digital camcorder 2708b001,canon vixia hf100 high definition camcorder,529.0,1,47
157,937,panasonic black high defintion 60gb hard disk drive/sd hybrid camcorder hdchs100k,panasonic black high defintion 60gb hard disk drive/sd hybrid camcorder hdchs100k 1920x1080 pixel recording advanced optical image stabilizer leica lens 12x optical zoom 2.7 ' wide lcd 5.1 channel surround sound records to internal hard drive and sd memory card black finish,,0,48
93,929,"panasonic hd 3mos 60gb hard disk drive/sd hybrid camcorder with advanced optical image stabilizer , leica lens , 12x optical zoom , 2.7 ' wide lcd and records to internal hard drive and sd card hdc-hs100k",,911.96,1,48
158,226,sony lcs-csq/b black soft carrying case lcscsqb,"sony lcs-csq/b black soft carrying case lcscsqb compatible with t , w and n series cameras durable nylon construction perfect for travel black finish",,0,49
95,446,sony lcs-csq soft cyber-shot camera case lcscsq/b,top loading polyamide black,,1,49
118,78,sony soft cyber-shot carrying case lcscst,sony soft cyber-shot carrying case lcscst sturdy nylon construction compact and very lightweight stylish black design,14.0,0,50
96,80,sony lcs soft carrying case lcscst,sony lcs-cst soft carrying case for ultra-compact digital cameras,9.95,1,50
162,593,sony soft camera carrying case lcsmx100,sony soft camera carrying case lcsmx100 stain resistant nylon colored interior movable partition build-in modular interface black finish,,0,51
97,615,sony lcs-mx100 camcorder case lcsmx100,nylon black,32.78,1,51
87,807,canon deluxe black digital camera case 2595b002,canon deluxe black digital camera case 2595b002 soft nylon case flip-down cover belt loop attachment for hands-free convenience compatible with canon powershot a series black finish,13.99,0,52
98,790,canon psc-85 soft camera case 2595b002,,8.77,1,52
184,442,canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa ),,8.77,1,52
166,688,sony black camcorder tripod vct80av,sony black camcorder tripod vct80av 3 stage leg extension extends from 24.88 ' to 65.88 ' in height guide frame feature available vertical position for a/v remote connector supplied carrying case black finish,180.0,0,53
101,618,sony vct-80av tripod vct80av,floor standing tripod 24.8 ' to 65.75 ' height 8.8 lb load capacity,,1,53
88,885,sony alpha digital slr black camera body dslra350,sony alpha digital slr black camera body dslra350 14.2 megapixels tiltable 2.7 ' clear photo lcd plus screen continuous shooting while viewing smart teleconverter 2x zoom expanded iso sensitivity super steadyshot in-camera image stabilization bionz image processor dynamic range optimizer anti-dust technology auto pop-up flash eye-start autofocus system 9-point center cross af sensor black finish,,0,54
103,587,sony alpha dslr-a350 digital slr camera dslra350,14.2 megapixel 16:9 2.7 ' active matrix tft color lcd,594.73,1,54
194,574,sony digital slr camera with lens kit dslra200w,sony alpha digital slr camera with lens kit dslra200w 10.2 megapixels 2.7 ' clear photo lcd screen super steadyshot in-camera image stabilization continuous burst mode bionz image processor iso sensitivity 9-point center cross af sensor scene selection modes dt 18-70mm f3 .5 zoom lens and 75-300mm f4.5-5 .6 compact super telephoto zoom lens included black finish,849.99,0,55
105,582,sony alpha dslr-a200 digital slr camera with dual lens kit dslra200w,10.2 megapixel 2.7 ' active matrix tft color lcd,699.0,1,55
